Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,153.95,154.8697,151.16,151.91,3810994,0,1,153.95,154.8697,151.16,151.91,3810994
3/26/2018,151.21,153.657,150.28,153.37,4038586,0,1,151.21,153.657,150.28,153.37,4038586
3/23/2018,152.25,152.58,148.541,148.89,4389015,0,1,152.25,152.58,148.541,148.89,4389015
3/22/2018,155,155.2499,152,152.09,4617371,0,1,155,155.2499,152,152.09,4617371
3/21/2018,156.57,158.2,155.92,156.69,3240695,0,1,156.57,158.2,155.92,156.69,3240695
3/20/2018,157.52,157.93,155.29,156.2,4296935,0,1,157.52,157.93,155.29,156.2,4296935
3/19/2018,159.71,159.8899,156.45,157.35,5415258,0,1,159.71,159.8899,156.45,157.35,5415258
3/16/2018,160.06,161.98,159.64,160.26,8447294,0,1,160.06,161.98,159.64,160.26,8447294
3/15/2018,158.71,161.25,158.52,159.61,3860479,0,1,158.71,161.25,158.52,159.61,3860479
3/14/2018,160.17,160.68,157.74,158.12,3614293,0,1,160.17,160.68,157.74,158.12,3614293
3/13/2018,160.09,162.1122,158.81,159.32,4097662,0,1,160.09,162.1122,158.81,159.32,4097662
3/12/2018,159.64,161.02,158.87,160.26,5056489,0,1,159.64,161.02,158.87,160.26,5056489
3/9/2018,157.47,159.5825,157.3,159.31,4783247,0,1,157.47,159.5825,157.3,159.31,4783247
3/8/2018,159,159.57,155.07,156.21,6095521,0,1,159,159.57,155.07,156.21,6095521
3/7/2018,155,158.83,154.73,158.32,4607677,0,1,155,158.83,154.73,158.32,4607677
3/6/2018,157.28,157.89,155.1568,155.72,3594049,0,1,157.28,157.89,155.1568,155.72,3594049
3/5/2018,154.12,157.49,153.75,156.95,3670630,0,1,154.12,157.49,153.75,156.95,3670630
3/2/2018,152.79,154.76,151.88,154.49,3261141,0,1,152.79,154.76,151.88,154.49,3261141
3/1/2018,155.53,156.9742,152.79,153.81,4039339,0,1,155.53,156.9742,152.79,153.81,4039339
2/28/2018,157.5,158.1399,155.8,155.83,3761597,0,1,157.5,158.1399,155.8,155.83,3761597
2/27/2018,158.46,159.78,156.53,156.55,4192962,0,1,158.46,159.78,156.53,156.55,4192962
2/26/2018,155.81,158.88,155.51,158.58,3576723,0,1,155.81,158.88,155.51,158.58,3576723
2/23/2018,154.3,155.855,154.07,155.52,3208908,0,1,154.3,155.855,154.07,155.52,3208908
2/22/2018,154.5,155.04,152.79,153.18,4017699,0,1,154.5,155.04,152.79,153.18,4017699
2/21/2018,155.43,156.79,153.9,153.96,3492694,0,1,155.43,156.79,153.9,153.96,3492694
2/20/2018,155.79,155.96,153.87,155.16,4267801,0,1,155.79,155.96,153.87,155.16,4267801
2/16/2018,155.71,157.7905,155.69,156.18,4239560,0,1,155.71,157.7905,155.69,156.18,4239560
2/15/2018,155.5,156.86,153.7,156.01,5525079,0,1,155.5,156.86,153.7,156.01,5525079
2/14/2018,150.19,155,150,154.76,5422862,0,1,150.19,155,150,154.76,5422862
2/13/2018,150.9,151.179,149.64,150.75,4854790,0,1,150.9,151.179,149.64,150.75,4854790
2/12/2018,150.9,152.4,150.3,151.4,5659623,0,1,150.9,152.4,150.3,151.4,5659623
2/9/2018,148.6,150.54,144.3955,149.51,7763603,0,1,148.6,150.54,144.3955,149.51,7763603
2/8/2018,152.48,153.16,147.5,147.59,6599136,0,1,152.48,153.16,147.5,147.59,6599136
2/7/2018,154.17,155.34,153.28,153.85,6069258,0,1,154.17,155.34,153.28,153.85,6069258
2/6/2018,150.29,155.49,149.11,155.34,9823824,0,1,150.29,155.49,149.11,155.34,9823824
2/5/2018,157.89,158.5,150,152.53,8600416,0,1,157.89,158.5,150,152.53,8600416
2/2/2018,161.7,162,158.8663,159.03,5174779,0,1,161.7,162,158.8663,159.03,5174779
2/1/2018,163.19,164.13,161.9,162.4,4422505,0,1,163.19,164.13,161.9,162.4,4422505
1/31/2018,163.75,164.99,162.761,163.7,4025105,0,1,163.75,164.99,162.761,163.7,4025105
1/30/2018,166.21,166.77,163.155,163.62,4796200,0,1,166.21,166.77,163.155,163.62,4796200
1/29/2018,167.45,168.39,166.01,166.8,3423903,0,1,167.45,168.39,166.01,166.8,3423903
1/26/2018,166.12,167.4142,165.79,167.34,3664496,0,1,166.12,167.4142,165.79,167.34,3664496
1/25/2018,165.91,166.78,165.19,165.47,3240177,0,1,165.91,166.78,165.19,165.47,3240177
1/24/2018,166.75,168.72,164.82,165.37,5507664,0,1,166.75,168.72,164.82,165.37,5507664
1/23/2018,162.82,166.26,162.51,166.25,7417268,0,1,162.82,166.26,162.51,166.25,7417268
1/22/2018,161.51,163.98,161.11,162.6,8340507,0,1,161.51,163.98,161.11,162.6,8340507
1/19/2018,164.46,165.4,161.3,162.37,21079530,0,1,164.46,165.4,161.3,162.37,21079530
1/18/2018,170,171.13,168.15,169.12,10948033,0,1,170,171.13,168.15,169.12,10948033
1/17/2018,168.01,169.1253,167.26,168.65,11630539,0,1,168.01,169.1253,167.26,168.65,11630539
1/16/2018,165.1,165.29,163.35,163.85,7588202,0,1,165.1,165.29,163.35,163.85,7588202
1/12/2018,164.02,164.74,163.03,163.14,5007254,0,1,164.02,164.74,163.03,163.14,5007254
1/11/2018,164.8,164.94,163.3,164.2,3783614,0,1,164.8,164.94,163.3,164.2,3783614
