Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,94.94,95.139,88.51,89.47,53704562,0,1,94.94,95.139,88.51,89.47,53704562
3/26/2018,90.61,94,90.4,93.78,55031149,0,1,90.61,94,90.4,93.78,55031149
3/23/2018,89.5,90.46,87.08,87.18,42159397,0,1,89.5,90.46,87.08,87.18,42159397
3/22/2018,91.265,91.75,89.66,89.79,37578166,0,1,91.265,91.75,89.66,89.79,37578166
3/21/2018,92.93,94.05,92.21,92.48,23753263,0,1,92.93,94.05,92.21,92.48,23753263
3/20/2018,93.05,93.77,93,93.13,21787780,0,1,93.05,93.77,93,93.13,21787780
3/19/2018,93.74,93.9,92.11,92.89,31752589,0,1,93.74,93.9,92.11,92.89,31752589
3/16/2018,94.68,95.38,93.92,94.6,47329521,0,1,94.68,95.38,93.92,94.6,47329521
3/15/2018,93.53,94.58,92.83,94.18,26279014,0,1,93.53,94.58,92.83,94.18,26279014
3/14/2018,95.12,95.41,93.5,93.85,31576898,0,1,95.12,95.41,93.5,93.85,31576898
3/13/2018,97,97.24,93.97,94.41,34445391,0,1,97,97.24,93.97,94.41,34445391
3/12/2018,96.5,97.21,96.04,96.77,25333720,0,1,96.5,97.21,96.04,96.77,25333720
3/9/2018,95.29,96.54,95,96.54,36145524,0,1,95.29,96.54,95,96.54,36145524
3/8/2018,94.27,95.1,93.765,94.43,24861307,0,1,94.27,95.1,93.765,94.43,24861307
3/7/2018,93.16,93.9406,92.43,93.86,26716127,0,1,93.16,93.9406,92.43,93.86,26716127
3/6/2018,94.34,94.49,92.941,93.32,22175776,0,1,94.34,94.49,92.941,93.32,22175776
3/5/2018,92.34,94.27,92.26,93.64,23901578,0,1,92.34,94.27,92.26,93.64,23901578
3/2/2018,91.58,93.15,90.86,93.05,32830389,0,1,91.58,93.15,90.86,93.05,32830389
3/1/2018,93.99,94.57,91.84,92.85,37135561,0,1,93.99,94.57,91.84,92.85,37135561
2/28/2018,94.84,95.705,93.63,93.77,29314525,0,1,94.84,95.705,93.63,93.77,29314525
2/27/2018,95.74,95.84,94.2,94.2,25540755,0,1,95.74,95.84,94.2,94.2,25540755
2/26/2018,94.4,95.45,94.25,95.42,29760276,0,1,94.4,95.45,94.25,95.42,29760276
2/23/2018,92.75,94.07,92.36,94.06,25779955,0,1,92.75,94.07,92.36,94.06,25779955
2/22/2018,92.05,92.73,91.36,91.74,22723756,0,1,92.05,92.73,91.36,91.74,22723756
2/21/2018,92.98,93.3595,91.49,91.49,26081953,0,1,92.98,93.3595,91.49,91.49,26081953
2/20/2018,91.475,93.06,91.01,92.72,30107057,0,1,91.475,93.06,91.01,92.72,30107057
2/16/2018,92.45,93.5,91.8,92,30188535,0,1,92.45,93.5,91.8,92,30188535
2/15/2018,91.21,92.72,90.62,92.66,27407914,0,1,91.21,92.72,90.62,92.66,27407914
2/14/2018,88.51,90.99,88.41,90.81,34314101,0,1,88.51,90.99,88.41,90.81,34314101
2/13/2018,88.93,90,87.8,89.83,26200053,0,1,88.93,90,87.8,89.83,26200053
2/12/2018,88.735,89.78,87.9295,89.13,35501368,0,1,88.735,89.78,87.9295,89.13,35501368
2/9/2018,86.3,88.93,83.83,88.1,57408480,0,1,86.3,88.93,83.83,88.1,57408480
2/8/2018,89.71,89.875,84.76,84.89,47485202,0,1,89.71,89.875,84.76,84.89,47485202
2/7/2018,90.49,91.77,89.2,89.61,40340551,0,1,90.49,91.77,89.2,89.61,40340551
2/6/2018,86.89,91.475,85.25,91.33,66157030,0,1,86.89,91.475,85.25,91.33,66157030
2/5/2018,90.56,93.24,88.08,89.05,42253469,0,1,90.56,93.24,88.08,89.05,42253469
2/2/2018,93.64,93.97,91.5,91.78,47076959,0,1,93.64,93.97,91.5,91.78,47076959
2/1/2018,94.79,96.07,93.5813,94.26,46645657,0,1,94.79,96.07,93.5813,94.26,46645657
