Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/2018,65.89,67.64,65.43,66.17,9420903,0,1,65.89,67.64,65.43,66.17,9420903
3/26/2018,65.08,66.06,64.99,65.9,10651655,0,1,65.08,66.06,64.99,65.9,10651655
3/23/2018,66.7,67.22,64.46,64.63,17100955,0,1,66.7,67.22,64.46,64.63,17100955
3/22/2018,65.6,66.15,64.23,64.42,11157800,0,1,65.6,66.15,64.23,64.42,11157800
3/21/2018,66.73,67.21,66.31,66.35,5772098,0,1,66.73,67.21,66.31,66.35,5772098
3/20/2018,65.94,66.87,65.93,66.8,6859313,0,1,65.94,66.87,65.93,66.8,6859313
3/19/2018,65.7,66.34,65.19,65.71,7213652,0,1,65.7,66.34,65.19,65.71,7213652
3/16/2018,66.31,66.69,65.91,65.91,12640208,0,1,66.31,66.69,65.91,65.91,12640208
3/15/2018,66.49,66.605,66.13,66.39,5243737,0,1,66.49,66.605,66.13,66.39,5243737
3/14/2018,66.65,66.9,65.67,66.2,6440556,0,1,66.65,66.9,65.67,66.2,6440556
3/13/2018,67.3,67.69,66.13,66.17,5135269,0,1,67.3,67.69,66.13,66.17,5135269
3/12/2018,66.65,67.61,66.32,66.82,7521115,0,1,66.65,67.61,66.32,66.82,7521115
3/9/2018,65.51,66.51,65.36,66.3,5822649,0,1,65.51,66.51,65.36,66.3,5822649
3/8/2018,64.56,65.25,64.48,65.11,5448938,0,1,64.56,65.25,64.48,65.11,5448938
3/7/2018,64.51,64.79,63.89,64.17,6457572,0,1,64.51,64.79,63.89,64.17,6457572
3/6/2018,65.21,65.36,64.63,65.24,6545116,0,1,65.21,65.36,64.63,65.24,6545116
3/5/2018,65.48,65.49,64.34,65.05,8838383,0,1,65.48,65.49,64.34,65.05,8838383
3/2/2018,64.91,66.09,64.21,65.89,8380732,0.2,1,64.91,66.09,64.21,65.89,8380732
3/1/2018,67.24,67.67,65.67,66.32,7323859,0,1,67.0365199,67.46521864,65.47127099,66.11930398,7323859
2/28/2018,68.1,68.3,67.01,67.03,6069042,0,1,68.1,68.3,67.01,67.03,6069042
2/27/2018,70,70.25,68.03,68.03,6808215,0,1,70,70.25,68.03,68.03,6808215
2/26/2018,68.39,69.81,68.34,69.65,6122074,0,1,68.39,69.81,68.34,69.65,6122074
2/23/2018,67.39,68.16,66.85,68.16,4359181,0,1,67.39,68.16,66.85,68.16,4359181
2/22/2018,67.25,67.48,66.74,67.13,6462619,0,1,67.25,67.48,66.74,67.13,6462619
2/21/2018,67.66,68.02,67.03,67.05,5006910,0,1,67.66,68.02,67.03,67.05,5006910
2/20/2018,67.64,67.97,67.05,67.49,4818245,0,1,67.64,67.97,67.05,67.49,4818245
2/16/2018,67.9,69,67.74,68.3,6812885,0,1,67.9,69,67.74,68.3,6812885
2/15/2018,68.39,68.76,67.25,68.29,7383161,0,1,68.39,68.76,67.25,68.29,7383161
2/14/2018,65.72,68.03,65.55,67.96,8587026,0,1,65.72,68.03,65.55,67.96,8587026
2/13/2018,65.85,66.23,65.43,65.87,9517268,0,1,65.85,66.23,65.43,65.87,9517268
2/12/2018,65.94,66.815,65.68,65.98,9744722,0,1,65.94,66.815,65.68,65.98,9744722
2/9/2018,63.76,66.05,62.84,65.49,13692782,0,1,63.76,66.05,62.84,65.49,13692782
2/8/2018,65.53,65.71,62.46,62.49,13707703,0,1,65.53,65.71,62.46,62.49,13707703
2/7/2018,65.15,66.841,65.1,65.63,8746674,0,1,65.15,66.841,65.1,65.63,8746674
2/6/2018,62.48,65.42,62.09,65.22,13232997,0,1,62.48,65.42,62.09,65.22,13232997
2/5/2018,66.63,67.21,64.39,64.39,12328769,0,1,66.63,67.21,64.39,64.39,12328769
2/2/2018,67.22,67.79,67,67.22,9235431,0,1,67.22,67.79,67,67.22,9235431
2/1/2018,67.67,67.97,66.7,67.65,5712096,0,1,67.67,67.97,66.7,67.65,5712096
1/31/2018,67.5,68.83,67.47,68.22,10964483,0,1,67.5,68.83,67.47,68.22,10964483
1/30/2018,67.5,68.31,67.16,67.33,6281296,0,1,67.5,68.31,67.16,67.33,6281296
1/29/2018,67.82,68.14,67.42,67.58,4868088,0,1,67.82,68.14,67.42,67.58,4868088
1/26/2018,68.2,68.64,67.92,68.04,6156767,0,1,68.2,68.64,67.92,68.04,6156767
1/25/2018,68.13,68.64,67.45,67.71,5642681,0,1,68.13,68.64,67.45,67.71,5642681
1/24/2018,67.34,68.18,67.07,68,7356739,0,1,67.34,68.18,67.07,68,7356739
1/23/2018,66.53,67.325,66.445,67.14,6322747,0,1,66.53,67.325,66.445,67.14,6322747
1/22/2018,66.55,66.83,65.76,66.39,8294425,0,1,66.55,66.83,65.76,66.39,8294425
1/19/2018,65.31,67.24,65.12,67.21,12634645,0,1,65.31,67.24,65.12,67.21,12634645
1/18/2018,64,64.21,63.54,64.11,5454607,0,1,64,64.21,63.54,64.11,5454607
1/17/2018,63.67,64.01,63.08,63.81,7335906,0,1,63.67,64.01,63.08,63.81,7335906
1/16/2018,64.78,65.36,63.37,63.42,8884907,0,1,64.78,65.36,63.37,63.42,8884907
1/12/2018,64.5,64.725,64.315,64.67,5045094,0,1,64.5,64.725,64.315,64.67,5045094
1/11/2018,64.03,64.31,63.78,64.29,5049597,0,1,64.03,64.31,63.78,64.29,5049597
1/10/2018,63.88,64.23,63.435,64.22,4902505,0,1,63.88,64.23,63.435,64.22,4902505
1/9/2018,64.23,64.72,63.47,64.09,6697632,0,1,64.23,64.72,63.47,64.09,6697632
1/8/2018,64.15,64.71,63.98,64.55,11888826,0,1,64.15,64.71,63.98,64.55,11888826
1/5/2018,63.7,64.3,63.4701,63.98,11482945,0,1,63.7,64.3,63.4701,63.98,11482945
1/4/2018,63.4,63.55,62.55,63.44,5727712,0,1,63.4,63.55,62.55,63.44,5727712
1/3/2018,63.48,63.66,62.76,63.48,6086964,0,1,63.48,63.66,62.76,63.48,6086964
1/2/2018,62.85,63.49,62.85,63.49,5559283,0,1,62.85,63.49,62.85,63.49,5559283
12/29/2017,63.21,63.37,62.55,62.55,5195058,0,1,63.21,63.37,62.55,62.55,5195058
12/28/2017,63,63.32,62.85,62.95,3950551,0,1,63,63.32,62.85,62.95,3950551
12/27/2017,63.56,63.6,62.77,62.95,6091767,0,1,63.56,63.6,62.77,62.95,6091767
12/26/2017,62.9,63.89,62.81,63.65,4438641,0,1,62.9,63.89,62.81,63.65,4438641
12/22/2017,61.21,63.54,60.13,63.29,20369725,0,1,61.21,63.54,60.13,63.29,20369725
12/21/2017,64.33,64.98,63.3,64.77,13218571,0,1,64.33,64.98,63.3,64.77,13218571
12/20/2017,64.4,64.5,63.58,63.59,12358225,0,1,64.4,64.5,63.58,63.59,12358225
12/19/2017,65.09,65.185,64.18,64.24,8197588,0,1,65.09,65.185,64.18,64.24,8197588
12/18/2017,64.99,65.08,64.39,64.81,12633649,0,1,64.99,65.08,64.39,64.81,12633649
12/15/2017,64.93,65.07,64.15,64.79,15158735,0,1,64.93,65.07,64.15,64.79,15158735
12/14/2017,64.435,64.85,64.05,64.53,12968876,0,1,64.435,64.85,64.05,64.53,12968876
12/13/2017,62.22,64.46,62.02,64.3,15759848,0,1,62.22,64.46,62.02,64.3,15759848
12/12/2017,61.81,62.53,61.65,62.17,7319761,0,1,61.81,62.53,61.65,62.17,7319761
12/11/2017,61.37,62.22,61.3,61.91,8988202,0,1,61.37,62.22,61.3,61.91,8988202
12/8/2017,60.5,61.37,60.29,61.3,5913287,0,1,60.5,61.37,60.29,61.3,5913287
12/7/2017,59.86,61.06,59.65,60.6,6066962,0,1,59.86,61.06,59.65,60.6,6066962
12/6/2017,60.41,60.85,59.7,59.72,7806059,0,1,60.41,60.85,59.7,59.72,7806059
12/5/2017,60.65,60.8,59.65,60.42,8737956,0,1,60.65,60.8,59.65,60.42,8737956
12/4/2017,60.27,60.695,59.97,60.1,7507367,0,1,60.27,60.695,59.97,60.1,7507367
12/1/2017,60.42,60.43,59.24,59.88,10113512,0,1,60.42,60.43,59.24,59.88,10113512
11/30/2017,60.26,61.21,60.2,60.42,12021569,0,1,60.26,61.21,60.2,60.42,12021569
11/29/2017,59.73,60.63,59.73,60.36,11924872,0,1,59.73,60.63,59.73,60.36,11924872
11/28/2017,58.76,59.6,58.54,59.58,8639368,0,1,58.76,59.6,58.54,59.58,8639368
11/27/2017,59.2,59.7,59.17,59.63,7771640,0,1,59.2,59.7,59.17,59.63,7771640
11/24/2017,59,59.35,58.91,59.32,3400441,0,1,59,59.35,58.91,59.32,3400441
