date,Microsoft,Apple,Amazon,IBM,Nike
3/27/2018,89.47,168.34,1497.05,151.91,66.17
3/26/2018,93.78,172.77,1555.86,153.37,65.9
3/23/2018,87.18,164.94,1495.56,148.89,64.63
3/22/2018,89.79,168.845,1544.1,152.09,64.42
3/21/2018,92.48,171.27,1581.86,156.69,66.35
3/20/2018,93.13,175.24,1586.51,156.2,66.8
3/19/2018,92.89,175.3,1544.93,157.35,65.71
3/16/2018,94.6,178.02,1571.68,160.26,65.91
3/15/2018,94.18,178.65,1582.32,159.61,66.39
3/14/2018,93.85,178.44,1591,158.12,66.2
3/13/2018,94.41,179.97,1588.18,159.32,66.17
3/12/2018,96.77,181.72,1598.39,160.26,66.82
3/9/2018,96.54,179.98,1578.89,159.31,66.3
3/8/2018,94.43,176.94,1551.86,156.21,65.11
3/7/2018,93.86,175.03,1545,158.32,64.17
3/6/2018,93.32,176.67,1537.64,155.72,65.24
3/5/2018,93.64,176.82,1523.61,156.95,65.05
3/2/2018,93.05,176.21,1500.25,154.49,65.89
3/1/2018,92.85,175,1493.45,153.81,66.32
2/28/2018,93.77,178.12,1512.45,155.83,67.03
2/27/2018,94.2,178.39,1511.98,156.55,68.03
2/26/2018,95.42,178.97,1521.95,158.58,69.65
2/23/2018,94.06,175.555,1500,155.52,68.16
2/22/2018,91.74,172.6,1484.76,153.18,67.13
2/21/2018,91.49,171.07,1482.92,153.96,67.05
2/20/2018,92.72,171.85,1468.35,155.16,67.49
2/16/2018,92,172.43,1448.69,156.18,68.3
2/15/2018,92.66,172.99,1461.76,156.01,68.29
2/14/2018,90.81,167.37,1451.05,154.76,67.96
2/13/2018,89.83,164.34,1414.51,150.75,65.87
2/12/2018,89.13,162.71,1386.23,151.4,65.98
2/9/2018,88.1,155.97,1338.99,149.51,65.49
2/8/2018,84.89,155.32,1350.47,147.59,62.49
2/7/2018,89.61,159.54,1416.78,153.85,65.63
2/6/2018,91.33,163.03,1442.84,155.34,65.22
2/5/2018,89.05,157.49,1396.62,152.53,64.39
2/2/2018,91.78,160.37,1431,159.03,67.22
2/1/2018,94.26,167.78,1390,162.4,67.65
1/31/2018,95.01,167.43,1451.65,163.7,68.22
1/30/2018,92.74,166.97,1437.82,163.62,67.33
1/29/2018,93.92,167.96,1417.68,166.8,67.58
1/26/2018,94.06,171.51,1402.05,167.34,68.04
1/25/2018,92.33,171.11,1377.95,165.47,67.71
1/24/2018,91.82,174.22,1357.51,165.37,68
1/23/2018,91.9,177.04,1362.54,166.25,67.14
1/22/2018,91.61,177,1327.31,162.6,66.39
1/19/2018,90,178.46,1294.58,162.37,67.21
1/18/2018,90.1,179.26,1293.32,169.12,64.11
1/17/2018,90.14,179.1,1295,168.65,63.81
1/16/2018,88.35,176.19,1304.86,163.85,63.42
1/12/2018,89.58,177.09,1305.2,163.14,64.67
1/11/2018,88.08,175.28,1276.68,164.2,64.29
1/10/2018,87.82,174.29,1254.33,164.18,64.22
1/9/2018,88.22,174.33,1252.7,163.83,64.09
1/8/2018,88.28,174.35,1246.87,163.47,64.55
1/5/2018,88.19,175,1229.14,162.49,63.98
1/4/2018,87.11,173.03,1209.59,161.7,63.44
1/3/2018,86.35,172.23,1204.2,158.49,63.48
1/2/2018,85.95,172.26,1189.01,154.25,63.49
12/29/2017,85.54,169.23,1169.47,153.42,62.55
12/28/2017,85.72,171.08,1186.1,154.04,62.95
12/27/2017,85.71,170.6,1182.26,153.13,62.95
12/26/2017,85.4,170.57,1176.76,152.83,63.65
12/22/2017,85.51,175.01,1168.36,152.5,63.29
12/21/2017,85.5,175.01,1174.76,151.5,64.77
12/20/2017,85.52,174.35,1177.62,152.95,63.59
12/19/2017,85.83,174.54,1187.38,153.23,64.24
12/18/2017,86.38,176.42,1190.58,153.33,64.81
12/15/2017,86.85,173.87,1179.14,152.5,64.79
12/14/2017,84.69,172.22,1174.26,154,64.53
